title,genre,year,rating,description
Inception,Sci-Fi,2010,8.8,A thief enters dreams to steal secrets and plant ideas.
The Godfather,Crime,1972,9.2,A mafia family's rise and struggle for power.
Titanic,Romance,1997,7.8,A love story aboard the doomed RMS Titanic.
The Matrix,Action,1999,8.7,A hacker discovers reality is a simulation.
La La Land,Romance,2016,8.0,A jazz musician and actress chase their dreams in LA.
Interstellar,Sci-Fi,2014,8.6,A team travels through space to save humanity.
The Dark Knight,Action,2008,9.0,Batman faces Joker in a crime-filled Gotham City.
Forrest Gump,Drama,1994,8.8,A man's journey through life and history.
The Shawshank Redemption,Drama,1994,9.3,Two imprisoned men bond over the years.
Gladiator,Action,2000,8.5,A Roman general seeks revenge after betrayal.
Pretty Woman,Romance,1990,7,A businessman falls for a spirited escort.
Ghost,Romance,1990,7.1,A murdered man communicates with his girlfriend through a psychic.
Beauty and the Beast,Romance,1991,8,An unlikely love story between a prince and a village girl.
The Bodyguard,Romance,1992,6.3,A former Secret Service agent protects a music superstar.
Sleepless in Seattle,Romance,1993,6.8,A widower's son calls a radio show to find his dad a partner.
Before Sunrise,Romance,1995,8.1,A chance train meeting leads to a romantic night in Vienna.
Dilwale Dulhania Le Jayenge,Romance,1995,8,A young couple must win over their conservative families.
Jerry Maguire,Romance,1996,7.3,A sports agent finds success and love.
Titanic,Romance,1997,7.8,A love story aboard the doomed RMS Titanic.
Notting Hill,Romance,1999,7.1,A bookstore owner falls in love with a famous actress.
10 Things I Hate About You,Romance,1999,7.3,A high school boy tries to date a girl with a protective father.
Run Lola Run,Romance,1998,7.6,A woman races against time to save her boyfriend.
Amélie,Romance,2001,8.3,A whimsical Parisian girl decides to change the lives of those around her.
A Walk to Remember,Romance,2002,7.4,A high school student falls in love with a quiet girl with a secret.
My Big Fat Greek Wedding,Romance,2002,6.6,A woman falls for a non-Greek man.
The Notebook,Romance,2004,7.8,A couple’s love story through decades.
Pride & Prejudice,Romance,2005,7.8,A classic tale of love and misunderstanding.
Brokeback Mountain,Romance,2005,7.7,Two cowboys maintain a secret relationship.
The Holiday,Romance,2006,6.9,Two women swap homes and find love.
Jab We Met,Romance,2007,7.9,A heartbroken man meets a lively woman on a train.
P.S. I Love You,Romance,2007,7,A widow receives letters from her late husband.
Twilight,Romance,2008,5.3,A teenage girl falls in love with a vampire.
500 Days of Summer,Romance,2009,7.7,The highs and lows of a failed relationship.
The Time Traveler's Wife,Romance,2009,7.1,A man with a time-traveling condition meets the love of his life.
Remember Me,Romance,2010,7.1,A troubled young man finds love in New York City.
La La Land,Romance,2016,8,A jazz musician and actress chase their dreams.
Barfi!,Romance,2012,8.1,A mute man falls in love with two women in different times.
The Vow,Romance,2012,6.8,A woman loses memory and her husband tries to win her heart again.
The Fault in Our Stars,Romance,2014,7.7,Two teens with cancer fall in love.
Me Before You,Romance,2016,7.4,A girl falls for a paralyzed man she cares for.
Love Rosie,Romance,2014,7.1,Two lifelong friends deal with missed chances.
Brooklyn,Romance,2015,7.5,An Irish immigrant faces love and cultural identity.
Your Name,Romance,2016,8.4,Two strangers mysteriously swap bodies.
To All the Boys I've Loved Before,Romance,2018,7,A girl's secret letters go public.
A Star is Born,Romance,2018,7.6,A musician helps a young singer find fame.
Call Me by Your Name,Romance,2017,7.8,A summer love between a teen and a scholar.
The Big Sick,Romance,2017,7.5,A couple navigates culture and illness.
Crazy Rich Asians,Romance,2018,6.9,A woman meets her boyfriend’s wealthy family.
Weathering with You,Romance,2019,7.5,A runaway meets a girl who can control the weather.
Little Women,Romance,2019,7.8,Sisters navigate love family and ambition.
Portrait of a Lady on Fire,Romance,2019,8.1,An artist falls for her subject.
After,Romance,2019,5.3,A college girl falls for a mysterious rebel.
Palm Springs,Romance,2020,7.4,Two people get stuck in a time loop at a wedding.
365 Days,Romance,2020,3.3,A woman falls for a dominant Sicilian man.
The Half of It,Romance,2020,6.9,A smart teen helps a jock woo a girl they both love.
Chemical Hearts,Romance,2020,6.2,Two teens bond over shared pain.
The Map of Tiny Perfect Things,Romance,2021,6.8,Teens relive the same day together.
The Kissing Booth 3,Romance,2021,4.8,A girl makes choices about college and love.
To All the Boys: Always and Forever,Romance,2021,6.3,Final chapter of Lara Jean's love story.
Cyrano,Romance,2021,6.4,A man helps another woo the woman he secretly loves.
The Lost City,Romance,2022,6.1,A novelist is kidnapped and rescued by her cover model.
Purple Hearts,Romance,2022,6.7,A fake marriage turns into real feelings.
Redeeming Love,Romance,2022,6.8,A love story set in the American West.
Along for the Ride,Romance,2022,6.1,A quiet girl meets a mysterious boy during summer.
Love in the Villa,Romance,2022,5.3,A woman finds her villa double-booked.
Emily in Paris,Romance,2020,6.9,A marketing exec finds romance in Paris.
Through My Window,Romance,2022,5.4,A girl obsesses over her hot neighbor.
After Ever Happy,Romance,2022,4.5,The final chapter of a toxic romance.
Your Place or Mine,Romance,2023,5.6,Two long-time friends try swapping lives.
Past Lives,Romance,2023,8,Childhood friends reconnect after years apart.
Red White & Royal Blue,Romance,2023,7.1,A British prince and American son fall in love.
Love at First Sight,Romance,2023,6.9,A couple meets on a flight and fate intervenes.
Anyone But You,Romance,2023,6.4,Enemies pretend to date in Australia.
Perfect Addiction,Romance,2023,5.3,A trainer trains a fighter to take down her ex.
Love Again,Romance,2023,5.7,A woman texts her late fiancé’s number.
Shotgun Wedding,Romance,2023,5.5,A couple’s wedding turns into a hostage crisis.
Cha Cha Real Smooth,Romance,2022,7.3,A bar mitzvah host bonds with a young mom.
The Statistical Probability of Love at First Sight,Romance,2023,6.9,Strangers connect on a flight.
A Tourist’s Guide to Love,Romance,2023,5.7,A travel exec finds love in Vietnam.
